Start Date,36129,...3,...4,...5
End Date,43830,,,
,,,,
,CL1 Comdty,,CL2 Comdty,
Dates,Last Price,CURRENT_CONTRACT_MONTH_YR,Last Price,CURRENT_CONTRACT_MONTH_YR
36129,11.22,JAN 99,11.7,FEB 99
36160,12.05,FEB 99,12.19,MAR 99
36189,12.75,MAR 99,12.79,APR 99
36217,12.27,APR 99,12.4,MAY 99
36250,16.760000000000002,MAY 99,16.73,JUN 99
36280,18.66,JUN 99,18.34,JUL 99
36311,16.84,JUL 99,16.82,AUG 99
36341,19.29,AUG 99,19.3,SEP 99
36371,20.53,SEP 99,20.56,OCT 99
36403,22.11,OCT 99,22.07,NOV 99
36433,24.51,NOV 99,24.14,DEC 99
36462,21.75,DEC 99,21.76,JAN 00
36494,24.59,JAN 00,23.95,FEB 00
36525,25.6,FEB 00,24.79,MAR 00
36556,27.64,MAR 00,26.72,APR 00
36585,30.43,APR 00,28.85,MAY 00
36616,26.9,MAY 00,26.38,JUN 00
36644,25.74,JUN 00,25.48,JUL 00
36677,29.01,JUL 00,28.42,AUG 00
36707,32.5,AUG 00,31.13,SEP 00
36738,27.43,SEP 00,27.31,OCT 00
36769,33.119999999999997,OCT 00,32.21,NOV 00
36798,30.84,NOV 00,30.71,DEC 00
36830,32.700000000000003,DEC 00,31.55,JAN 01
36860,33.82,JAN 01,32.880000000000003,FEB 01
36889,26.8,FEB 01,25.98,MAR 01
36922,28.66,MAR 01,27.96,APR 01
36950,27.39,APR 01,27.5,MAY 01
36980,26.29,MAY 01,26.57,JUN 01
37011,28.46,JUN 01,28.86,JUL 01
37042,28.37,JUL 01,28.52,AUG 01
37071,26.25,AUG 01,26.09,SEP 01
37103,26.35,SEP 01,25.77,OCT 01
37134,27.2,OCT 01,27.35,NOV 01
37162,23.43,NOV 01,23.68,DEC 01
37195,21.18,DEC 01,21.32,JAN 02
37225,19.440000000000001,JAN 02,19.64,FEB 02
37256,19.84,FEB 02,20.11,MAR 02
37287,19.48,MAR 02,19.809999999999999,APR 02
37315,21.74,APR 02,21.96,MAY 02
37344,26.31,MAY 02,26.37,JUN 02
37376,27.29,JUN 02,26.93,JUL 02
37407,25.31,JUL 02,25.39,AUG 02
37435,26.86,AUG 02,26.71,SEP 02
37468,27.02,SEP 02,26.47,OCT 02
37498,28.98,OCT 02,28.8,NOV 02
37529,30.45,NOV 02,30.21,DEC 02
37560,27.22,DEC 02,26.88,JAN 03
37589,26.89,JAN 03,26.71,FEB 03
37621,31.2,FEB 03,30.59,MAR 03
37652,33.51,MAR 03,32.74,APR 03
37680,36.6,APR 03,34.83,MAY 03
37711,31.04,MAY 03,29.19,JUN 03
37741,25.8,JUN 03,25.46,JUL 03
37771,29.56,JUL 03,28.49,AUG 03
37802,30.19,AUG 03,29.77,SEP 03
37833,30.54,SEP 03,30.25,OCT 03
37862,31.57,OCT 03,31.31,NOV 03
37894,29.2,NOV 03,28.92,DEC 03
37925,29.11,DEC 03,28.85,JAN 04
37953,30.41,JAN 04,30.22,FEB 04
37986,32.520000000000003,FEB 04,32.28,MAR 04
38016,33.049999999999997,MAR 04,32.1,APR 04
38044,36.159999999999997,APR 04,35.24,MAY 04
38077,35.76,MAY 04,35.08,JUN 04
38107,37.380000000000003,JUN 04,37.08,JUL 04
38138,39.880000000000003,JUL 04,39.71,AUG 04
38168,37.049999999999997,AUG 04,37.14,SEP 04
38198,43.8,SEP 04,43.05,OCT 04
38230,42.12,OCT 04,42.04,NOV 04
38260,49.64,NOV 04,49.21,DEC 04
38289,51.76,DEC 04,51.6,JAN 05
38321,49.13,JAN 05,49.26,FEB 05
38352,43.45,FEB 05,43.63,MAR 05
38383,48.2,MAR 05,48.45,APR 05
38411,51.75,APR 05,52.33,MAY 05
38442,55.4,MAY 05,56.42,JUN 05
38471,49.72,JUN 05,51.45,JUL 05
38503,51.97,JUL 05,52.75,AUG 05
38533,56.5,AUG 05,57.64,SEP 05
38562,60.57,SEP 05,61.65,OCT 05
38595,68.94,OCT 05,69.41,NOV 05
38625,66.239999999999995,NOV 05,66.23,DEC 05
38656,59.76,DEC 05,60.39,JAN 06
38686,57.32,JAN 06,58.23,FEB 06
38716,61.04,FEB 06,61.9,MAR 06
38748,67.92,MAR 06,68.739999999999995,APR 06
38776,61.41,APR 06,63.01,MAY 06
38807,66.63,MAY 06,67.930000000000007,JUN 06
38835,71.88,JUN 06,73.5,JUL 06
38868,71.290000000000006,JUL 06,72.290000000000006,AUG 06
38898,73.930000000000007,AUG 06,74.81,SEP 06
38929,74.400000000000006,SEP 06,75.680000000000007,OCT 06
38960,70.260000000000005,OCT 06,71.47,NOV 06
38989,62.91,NOV 06,64.150000000000006,DEC 06
39021,58.73,DEC 06,60.61,JAN 07
39051,63.13,JAN 07,64.62,FEB 07
39080,61.05,FEB 07,62.38,MAR 07
39113,58.14,MAR 07,58.85,APR 07
39141,61.79,APR 07,63.06,MAY 07
39171,65.87,MAY 07,67.47,JUN 07
39202,65.709999999999994,JUN 07,67.209999999999994,JUL 07
39233,64.010000000000005,JUL 07,64.989999999999995,AUG 07
39262,70.680000000000007,AUG 07,70.98,SEP 07
39294,78.209999999999994,SEP 07,77.599999999999994,OCT 07
39325,74.040000000000006,OCT 07,73.319999999999993,NOV 07
39353,81.66,NOV 07,80.48,DEC 07
39386,94.53,DEC 07,93.27,JAN 08
39416,88.71,JAN 08,88.26,FEB 08
39447,95.98,FEB 08,95.78,MAR 08
39478,91.75,MAR 08,91.68,APR 08
39507,101.84,APR 08,101.42,MAY 08
39538,101.58,MAY 08,101.09,JUN 08
39568,113.46,JUN 08,112.73,JUL 08
39598,127.35,JUL 08,127.5,AUG 08
39629,140,AUG 08,140.58000000000001,SEP 08
39660,124.08,SEP 08,124.51,OCT 08
39689,115.46,OCT 08,115.85,NOV 08
39721,100.64,NOV 08,100.26,DEC 08
39752,67.81,DEC 08,68.48,JAN 09
39780,54.43,JAN 09,55.82,FEB 09
39813,44.6,FEB 09,48.59,MAR 09
39843,41.68,MAR 09,46.13,APR 09
39871,44.76,APR 09,46.89,MAY 09
39903,49.66,MAY 09,51.37,JUN 09
39933,51.12,JUN 09,52.28,JUL 09
39962,66.31,JUL 09,67.069999999999993,AUG 09
39994,69.89,AUG 09,70.84,SEP 09
40025,69.45,SEP 09,71.150000000000006,OCT 09
40056,69.959999999999994,OCT 09,70.66,NOV 09
40086,70.61,NOV 09,70.94,DEC 09
40116,77,DEC 09,77.64,JAN 10
40147,77.28,JAN 10,78.66,FEB 10
40178,79.36,FEB 10,80.02,MAR 10
40207,72.89,MAR 10,73.349999999999994,APR 10
40235,79.66,APR 10,80.010000000000005,MAY 10
40268,83.76,MAY 10,84.18,JUN 10
40298,86.15,JUN 10,88.36,JUL 10
40329,73.97,JUL 10,75.16,AUG 10
40359,75.63,AUG 10,76.16,SEP 10
40389,78.95,SEP 10,79.39,OCT 10
40421,71.92,OCT 10,73.540000000000006,NOV 10
40451,79.97,NOV 10,80.95,DEC 10
40480,81.430000000000007,DEC 10,82.15,JAN 11
40512,84.11,JAN 11,84.65,FEB 11
40543,91.38,FEB 11,92.22,MAR 11
40574,92.19,MAR 11,94.28,APR 11
40602,96.97,APR 11,98.64,MAY 11
40633,106.72,MAY 11,107.24,JUN 11
40662,113.93,JUN 11,114.43,JUL 11
40694,102.7,JUL 11,103.27,AUG 11
40724,95.42,AUG 11,95.96,SEP 11
40753,95.7,SEP 11,96.13,OCT 11
40786,88.81,OCT 11,89.16,NOV 11
40816,79.2,NOV 11,79.33,DEC 11
40847,93.19,DEC 11,93.08,JAN 12
40877,100.36,JAN 12,100.46,FEB 12
40907,98.83,FEB 12,99,MAR 12
40939,98.48,MAR 12,98.85,APR 12
40968,107.07,APR 12,107.52,MAY 12
40998,103.02,MAY 12,103.54,JUN 12
41029,104.87,JUN 12,105.26,JUL 12
41060,86.53,JUL 12,86.85,AUG 12
41089,84.96,AUG 12,85.37,SEP 12
41121,88.06,SEP 12,88.34,OCT 12
41152,96.47,OCT 12,96.76,NOV 12
41180,92.19,NOV 12,92.56,DEC 12
41213,86.24,DEC 12,86.73,JAN 13
41243,88.91,JAN 13,89.49,FEB 13
41274,91.82,FEB 13,92.27,MAR 13
41305,97.49,MAR 13,97.96,APR 13
41333,92.05,APR 13,92.46,MAY 13
41362,97.23,MAY 13,97.49,JUN 13
41394,93.46,JUN 13,93.68,JUL 13
41425,91.97,JUL 13,92.21,AUG 13
41453,96.56,AUG 13,96.44,SEP 13
41486,105.03,SEP 13,104.22,OCT 13
41516,107.65,OCT 13,107.08,NOV 13
41547,102.33,NOV 13,101.9,DEC 13
41578,96.38,DEC 13,96.65,JAN 14
41607,92.72,JAN 14,93.01,FEB 14
41639,98.42,FEB 14,98.55,MAR 14
41670,97.49,MAR 14,96.71,APR 14
41698,102.59,APR 14,101.89,MAY 14
41729,101.58,MAY 14,100.82,JUN 14
41759,99.74,JUN 14,99.11,JUL 14
41789,102.71,JUL 14,101.98,AUG 14
41820,105.37,AUG 14,104.73,SEP 14
41851,98.17,SEP 14,97.32,OCT 14
41880,95.96,OCT 14,95.02,NOV 14
41912,91.16,NOV 14,90.27,DEC 14
41943,80.540000000000006,DEC 14,80.42,JAN 15
41971,66.150000000000006,JAN 15,66.260000000000005,FEB 15
42004,53.27,FEB 15,53.7,MAR 15
42034,48.24,MAR 15,48.99,APR 15
42062,49.76,APR 15,52.14,MAY 15
42094,47.6,MAY 15,49.34,JUN 15
42124,59.63,JUN 15,60.71,JUL 15
42153,60.3,JUL 15,60.6,AUG 15
42185,59.47,AUG 15,59.83,SEP 15
42216,47.12,SEP 15,47.53,OCT 15
42247,49.2,OCT 15,49.93,NOV 15
42277,45.09,NOV 15,45.56,DEC 15
42307,46.59,DEC 15,47.47,JAN 16
42338,41.65,JAN 16,42.96,FEB 16
42369,37.04,FEB 16,38.17,MAR 16
42398,33.619999999999997,MAR 16,35.28,APR 16
42429,33.75,APR 16,35.58,MAY 16
42460,38.340000000000003,MAY 16,39.75,JUN 16
42489,45.92,JUN 16,46.69,JUL 16
42521,49.1,JUL 16,49.53,AUG 16
42551,48.33,AUG 16,49.01,SEP 16
