Start Date,36129,...3,...4,...5
End Date,43830,,,
,,,,
,QS1 Comdty,,QS2 Comdty,
Dates,Last Price,CURRENT_CONTRACT_MONTH_YR,Last Price,CURRENT_CONTRACT_MONTH_YR
36129,94.5,DEC 98,98.5,JAN 99
36160,95.5,JAN 99,98,FEB 99
36189,100,FEB 99,100.5,MAR 99
36217,100.25,MAR 99,100.25,APR 99
36250,131.5,APR 99,130.75,MAY 99
36280,132.25,MAY 99,134.25,JUN 99
36311,118,JUN 99,121.75,JUL 99
36341,140,JUL 99,142.5,AUG 99
36371,160.5,AUG 99,162.25,SEP 99
36403,179.25,SEP 99,180,OCT 99
36433,191.25,OCT 99,192.25,NOV 99
36462,179.5,NOV 99,179.75,DEC 99
36494,207.75,DEC 99,203.5,JAN 00
36525,222.25,JAN 00,213.25,FEB 00
36556,219.5,FEB 00,215.25,MAR 00
36585,230,MAR 00,223,APR 00
36616,204,APR 00,198.75,MAY 00
36644,211.5,MAY 00,203,JUN 00
36677,228.5,JUN 00,225.25,JUL 00
36707,255.75,JUL 00,253.5,AUG 00
36738,239.5,AUG 00,236.25,SEP 00
36769,311.5,SEP 00,305.5,OCT 00
36798,287.75,OCT 00,283.25,NOV 00
36830,281.25,NOV 00,275.75,DEC 00
36860,304.5,DEC 00,294.75,JAN 01
36889,245,JAN 01,238,FEB 01
36922,213.75,FEB 01,213.5,MAR 01
36950,219.5,MAR 01,217.5,APR 01
36980,212,APR 01,208.25,MAY 01
37011,233.5,MAY 01,231.75,JUN 01
37042,231,JUN 01,231,JUL 01
37071,226.75,JUL 01,227.75,AUG 01
37103,220.25,AUG 01,219.5,SEP 01
37134,231.75,SEP 01,232.75,OCT 01
37162,212.75,OCT 01,209,NOV 01
37195,185.75,NOV 01,183.75,DEC 01
37225,161,DEC 01,163.75,JAN 02
37256,168.5,JAN 02,169.25,FEB 02
37287,160.75,FEB 02,160.75,MAR 02
37315,168.75,MAR 02,171.5,APR 02
37344,201.5,APR 02,203.25,MAY 02
37376,209.25,MAY 02,211,JUN 02
37407,193.5,JUN 02,196.25,JUL 02
37435,206.75,JUL 02,207.75,AUG 02
37468,213.5,AUG 02,213.75,SEP 02
37498,232,SEP 02,233.25,OCT 02
37529,246.5,OCT 02,245.75,NOV 02
37560,221.5,NOV 02,221.75,DEC 02
37589,224.5,DEC 02,222.75,JAN 03
37621,253.75,JAN 03,248.5,FEB 03
37652,277.5,FEB 03,268,MAR 03
37680,321,MAR 03,301.5,APR 03
37711,240,APR 03,229.75,MAY 03
37741,211.5,MAY 03,205.5,JUN 03
37771,222.5,JUN 03,221.25,JUL 03
37802,236.5,JUL 03,236,AUG 03
37833,243,AUG 03,243.75,SEP 03
37862,252.5,SEP 03,254.5,OCT 03
37894,236.25,OCT 03,236.25,NOV 03
37925,251.75,NOV 03,242.5,DEC 03
37953,251,DEC 03,249.75,JAN 04
37986,272,JAN 04,267.75,FEB 04
38016,258.5,FEB 04,254.25,MAR 04
38044,275.25,MAR 04,270,APR 04
38077,281,APR 04,271,MAY 04
38107,309,MAY 04,298.5,JUN 04
38138,314.5,JUN 04,309,JUL 04
38168,321.75,JUL 04,317.75,AUG 04
38198,370.25,AUG 04,366.5,SEP 04
38230,352.5,SEP 04,351.5,OCT 04
38260,446.75,OCT 04,429.25,NOV 04
38289,445.75,NOV 04,437.5,DEC 04
38321,431.25,DEC 04,427.5,JAN 05
38352,368,JAN 05,365.25,FEB 05
38383,397.25,FEB 05,393.25,MAR 05
38411,460.5,MAR 05,448.75,APR 05
38442,514.5,APR 05,508.75,MAY 05
38471,468.5,MAY 05,470.5,JUN 05
38503,454.5,JUN 05,458.75,JUL 05
38533,525.25,JUL 05,529.5,AUG 05
38562,525,AUG 05,536,SEP 05
38595,637,SEP 05,637.5,OCT 05
38625,626.75,OCT 05,628.5,NOV 05
38656,552,NOV 05,558.25,DEC 05
38686,492.5,DEC 05,507.75,JAN 06
38716,510.75,JAN 06,518.5,FEB 06
38748,560.5,FEB 06,571.25,MAR 06
38776,537.25,MAR 06,540.75,APR 06
38807,582,APR 06,582.25,MAY 06
38835,627.75,MAY 06,632,JUN 06
38868,619.25,JUN 06,623.5,JUL 06
38898,643.75,JUL 06,649.75,AUG 06
38929,632.25,AUG 06,643,SEP 06
38960,634.75,SEP 06,637.75,OCT 06
38989,546.25,OCT 06,550.25,NOV 06
39021,516.25,NOV 06,520.5,DEC 06
39051,566.75,DEC 06,569.25,JAN 07
39080,516.5,JAN 07,521.75,FEB 07
39113,511.75,FEB 07,515.5,MAR 07
39141,538,MAR 07,541.5,APR 07
39171,591.75,APR 07,593.5,MAY 07
39202,595,MAY 07,598,JUN 07
39233,588,JUN 07,591,JUL 07
39262,626,JUL 07,629.75,AUG 07
39294,654.75,AUG 07,657.5,SEP 07
39325,641.25,SEP 07,642,OCT 07
39353,712.5,OCT 07,711,NOV 07
39386,787,NOV 07,785.75,DEC 07
39416,792.75,DEC 07,787,JAN 08
39447,839.25,JAN 08,831.25,FEB 08
39478,797,FEB 08,787.75,MAR 08
39507,915,MAR 08,895.5,APR 08
39538,969,APR 08,954.75,MAY 08
39568,1073.25,MAY 08,1047.5,JUN 08
39598,1187.75,JUN 08,1191.75,JUL 08
39629,1262.5,JUL 08,1268.5,AUG 08
39660,1127.75,AUG 08,1131.75,SEP 08
39689,1030.25,SEP 08,1037.75,OCT 08
39721,914.5,OCT 08,911.25,NOV 08
39752,636.5,NOV 08,633.5,DEC 08
39780,525.5,DEC 08,532.5,JAN 09
39813,418.5,JAN 09,424.75,FEB 09
39843,449.5,FEB 09,454.25,MAR 09
39871,386.5,MAR 09,392.75,APR 09
39903,420,APR 09,427.5,MAY 09
39933,428,MAY 09,435,JUN 09
39962,523,JUN 09,534.75,JUL 09
39994,557,JUL 09,567.75,AUG 09
40025,570.5,AUG 09,577.25,SEP 09
40056,562.75,SEP 09,569.25,OCT 09
40086,552,OCT 09,559.5,NOV 09
40116,624.75,NOV 09,632.25,DEC 09
40147,614.25,DEC 09,625.5,JAN 10
40178,635.5,JAN 10,641.5,FEB 10
40207,586.5,FEB 10,593.25,MAR 10
40235,628.75,MAR 10,632.25,APR 10
40268,683.75,APR 10,681,MAY 10
40298,731.75,MAY 10,734.5,JUN 10
40329,637.75,JUN 10,640.5,JUL 10
40359,644.75,JUL 10,647,AUG 10
40389,648.25,AUG 10,654.75,SEP 10
40421,641.25,SEP 10,644.75,OCT 10
40451,706.75,OCT 10,704,NOV 10
40480,700.75,NOV 10,704,DEC 10
40512,729.25,DEC 10,734.5,JAN 11
40543,762.5,JAN 11,768,FEB 11
40574,835.5,FEB 11,840.5,MAR 11
40602,932.25,MAR 11,935.75,APR 11
40633,993,APR 11,989.25,MAY 11
40662,1033.5,MAY 11,1036.25,JUN 11
40694,962,JUN 11,964.5,JUL 11
40724,926.5,JUL 11,929.5,AUG 11
40753,971,AUG 11,972.5,SEP 11
40786,973.5,SEP 11,970,OCT 11
40816,883.5,OCT 11,879.5,NOV 11
40847,950.5,NOV 11,939.25,DEC 11
40877,965.25,DEC 11,956.5,JAN 12
40907,924,JAN 12,918,FEB 12
40939,949.25,FEB 12,949.75,MAR 12
40968,1002.75,MAR 12,1003.75,APR 12
40998,1014.25,APR 12,1013.75,MAY 12
41029,1007.25,MAY 12,1003,JUN 12
41060,870.75,JUN 12,866.75,JUL 12
41089,848.5,JUL 12,843.25,AUG 12
41121,906.25,AUG 12,906.5,SEP 12
41152,995,SEP 12,994.25,OCT 12
41180,980.75,OCT 12,974.5,NOV 12
41213,958,NOV 12,949.5,DEC 12
41243,950.25,DEC 12,953,JAN 13
41274,927,JAN 13,927,FEB 13
41305,993,FEB 13,982.75,MAR 13
41333,938.25,MAR 13,939,APR 13
41362,915.5,APR 13,918.25,MAY 13
41394,845.75,MAY 13,849.75,JUN 13
41425,844.75,JUN 13,845.5,JUL 13
41453,883.25,JUL 13,877.25,AUG 13
41486,910.5,AUG 13,912.75,SEP 13
41516,969.5,SEP 13,969.25,OCT 13
41547,913,OCT 13,912,NOV 13
41578,932.5,NOV 13,924,DEC 13
41607,943,DEC 13,942.75,JAN 14
41639,944.25,JAN 14,943.5,FEB 14
41670,917,FEB 14,911.75,MAR 14
41698,920.75,MAR 14,918.25,APR 14
41729,894,APR 14,895,MAY 14
41759,903.25,MAY 14,901,JUN 14
41789,892.5,JUN 14,893.75,JUL 14
41820,915,JUL 14,918.75,AUG 14
41851,887,AUG 14,889.5,SEP 14
41880,864.75,SEP 14,868.5,OCT 14
41912,805.5,OCT 14,808.25,NOV 14
41943,741.75,NOV 14,741.25,DEC 14
41971,656.75,DEC 14,654.25,JAN 15
42004,512.25,JAN 15,521.25,FEB 15
42034,478.25,FEB 15,477,MAR 15
42062,593.75,MAR 15,580.75,APR 15
42094,526.5,APR 15,524,MAY 15
42124,599.25,MAY 15,599.25,JUN 15
42153,593,JUN 15,593.5,JUL 15
42185,573.75,JUL 15,576,AUG 15
42216,488.75,AUG 15,492.5,SEP 15
42247,485.75,SEP 15,491,OCT 15
42277,464,OCT 15,467,NOV 15
42307,455.25,NOV 15,460,DEC 15
42338,419.5,DEC 15,426,JAN 16
42369,326.25,JAN 16,334.25,FEB 16
42398,304,FEB 16,312,MAR 16
42429,324.5,MAR 16,330,APR 16
42460,355,APR 16,358.5,MAY 16
42489,413,MAY 16,414,JUN 16
42521,453.5,JUN 16,453.75,JUL 16
42551,442.5,JUL 16,446.25,AUG 16
42580,371.25,AUG 16,377.25,SEP 16
42613,414.5,SEP 16,419.75,OCT 16
42643,446.75,OCT 16,447.75,NOV 16
42674,440.25,NOV 16,441.25,DEC 16
42704,448.25,DEC 16,452,JAN 17
42734,501,JAN 17,504.75,FEB 17
42766,493.75,FEB 17,497.75,MAR 17
42794,489.25,MAR 17,492,APR 17
42825,469.5,APR 17,471,MAY 17
42853,454,MAY 17,455.5,JUN 17
42886,445.5,JUN 17,445.75,JUL 17
42916,436.5,JUL 17,436,AUG 17
42947,489,AUG 17,487.5,SEP 17
42978,504.75,SEP 17,503.25,OCT 17
43007,548.25,OCT 17,542.25,NOV 17
43039,551,NOV 17,547.75,DEC 17
43069,557,DEC 17,558,JAN 18
