Start Date,38686,...3,...4,...5
End Date,43830,,,
,,,,
,XB1 Comdty,,XB2 Comdty,
Dates,Last Price,CURRENT_CONTRACT_MONTH_YR,Last Price,CURRENT_CONTRACT_MONTH_YR
38686,152.71,JAN 06,155.71,FEB 06
38716,174,JAN 06,176.5,FEB 06
38748,175.58,FEB 06,181.08,MAR 06
38776,154.43,MAR 06,177.93,APR 06
38807,206.45,APR 06,206.8,MAY 06
38835,221,MAY 06,219.75,JUN 06
38868,228.73,JUN 06,225.51,JUL 06
38898,239.31,JUL 06,238.46,AUG 06
38929,234.96,AUG 06,231.09,SEP 06
38960,182.07,SEP 06,180.32,OCT 06
38989,156.32,OCT 06,159.61000000000001,NOV 06
39021,144.66,NOV 06,148.88,DEC 06
39051,170.24,DEC 06,170.08,JAN 07
39080,160.21,JAN 07,161.63,FEB 07
39113,150.09,FEB 07,155.24,MAR 07
39141,184.76,MAR 07,187.38,APR 07
39171,211.15,APR 07,205.8,MAY 07
39202,244.05,MAY 07,225.94,JUN 07
39233,225.12,JUN 07,220.32,JUL 07
39262,229.42,JUL 07,224.28,AUG 07
39294,214.08,AUG 07,210.59,SEP 07
39325,205.19,SEP 07,196.45,OCT 07
39353,206.83,OCT 07,204.11,NOV 07
39386,234,NOV 07,233.7,DEC 07
39416,225.91,DEC 07,223.06,JAN 08
39447,247.58,JAN 08,249.08,FEB 08
39478,230.91,FEB 08,235.72,MAR 08
39507,251.23,MAR 08,266.99,APR 08
39538,261.63,APR 08,262.70999999999998,MAY 08
39568,293.12,MAY 08,290.63,JUN 08
39598,340.89,JUN 08,334.82,JUL 08
39629,350.15,JUL 08,349.91,AUG 08
39660,304.8,AUG 08,307.08999999999997,SEP 08
39689,300.99,SEP 08,285.42,OCT 08
39721,248.47,OCT 08,245.77,NOV 08
39752,144.13,NOV 08,149.59,DEC 08
39780,114.62,DEC 08,120.96,JAN 09
39813,100.82,JAN 09,106.2,FEB 09
39843,126.89,FEB 09,126.87,MAR 09
39871,128.07,MAR 09,137.25,APR 09
39903,140,APR 09,142.13,MAY 09
39933,147.41999999999999,MAY 09,146.58000000000001,JUN 09
39962,193.1,JUN 09,189.53,JUL 09
39994,189.72,JUL 09,190.2,AUG 09
40025,204.48,AUG 09,201.26,SEP 09
40056,198.59,SEP 09,180.99,OCT 09
40086,172.59,OCT 09,175.16,NOV 09
40116,194.32,NOV 09,195.95,DEC 09
40147,200.08,DEC 09,201.15,JAN 10
40178,205.25,JAN 10,205.29,FEB 10
40207,190.31,FEB 10,191.34,MAR 10
40235,207.88,MAR 10,218.79,APR 10
40268,231,APR 10,230.72,MAY 10
40298,239.63,MAY 10,239.94,JUN 10
40329,201.98,JUN 10,202.66,JUL 10
40359,206.06,JUL 10,206.04,AUG 10
40389,210.66,AUG 10,212.24,SEP 10
40421,188.94,SEP 10,185.74,OCT 10
40451,204.48,OCT 10,203.61,NOV 10
40480,210.45,NOV 10,205.94,DEC 10
40512,226.52,DEC 10,218.68,JAN 11
40543,245.32,JAN 11,243.03,FEB 11
40574,249.06,FEB 11,250.01,MAR 11
40602,272.95999999999998,MAR 11,289.27,APR 11
40633,310.76,APR 11,310.77,MAY 11
40662,346.48,MAY 11,339.84,JUN 11
40694,315.04000000000002,JUN 11,305.02999999999997,JUL 11
40724,303.16000000000003,JUL 11,296.92,AUG 11
40753,311.29000000000002,AUG 11,305.79000000000002,SEP 11
40786,303.2,SEP 11,287.63,OCT 11
40816,262.60000000000002,OCT 11,253.81,NOV 11
40847,264.29000000000002,NOV 11,260.57,DEC 11
40877,256.77,DEC 11,255.84,JAN 12
40907,268.63,JAN 12,265.74,FEB 12
40939,288.74,FEB 12,289.08999999999997,MAR 12
40968,304.23,MAR 12,325.72000000000003,APR 12
40998,338.99,APR 12,330.81,MAY 12
41029,318.44,MAY 12,312.45999999999998,JUN 12
41060,282.5,JUN 12,272.27,JUL 12
41089,272.72000000000003,JUL 12,263.18,AUG 12
41121,291.45999999999998,AUG 12,277.43,SEP 12
41152,310.56,SEP 12,297.27999999999997,OCT 12
41180,334.2,OCT 12,292.01,NOV 12
41213,276.18,NOV 12,263.02999999999997,DEC 12
41243,276.14,DEC 12,273.02999999999997,JAN 13
41274,281.2,JAN 13,276.17,FEB 13
41305,302.58,FEB 13,303.17,MAR 13
41333,291.45999999999998,MAR 13,311.17,APR 13
41362,310.54000000000002,APR 13,311.06,MAY 13
41394,280.08999999999997,MAY 13,280.2,JUN 13
41425,277.89,JUN 13,275.49,JUL 13
41453,275.2,JUL 13,271.56,AUG 13
41486,304.42,AUG 13,299.63,SEP 13
41516,301.83,SEP 13,289.01,OCT 13
41547,263.47000000000003,OCT 13,262.82,NOV 13
41578,263.37,NOV 13,258.7,DEC 13
41607,268.41000000000003,DEC 13,266.27999999999997,JAN 14
41639,278.58,JAN 14,278.58999999999997,FEB 14
41670,262.72000000000003,FEB 14,263.14,MAR 14
41698,278.98,MAR 14,297.74,APR 14
41729,291.10000000000002,APR 14,291.79000000000002,MAY 14
41759,300.77,MAY 14,296.44,JUN 14
41789,299.64999999999998,JUN 14,297.19,JUL 14
41820,307.7,JUL 14,304.33,AUG 14
41851,283.11,AUG 14,279.75,SEP 14
41880,278.27,SEP 14,262.29000000000002,OCT 14
41912,258.69,OCT 14,243.73,NOV 14
41943,216.95,NOV 14,214.78,DEC 14
41971,190.39,DEC 14,182.76,JAN 15
42004,143.53,JAN 15,147.21,FEB 15
42034,141.52000000000001,FEB 15,147.88,MAR 15
42062,176.76,MAR 15,197.79,APR 15
42094,178,APR 15,177,MAY 15
42124,204.97,MAY 15,204.51,JUN 15
42153,208.58,JUN 15,206.27,JUL 15
42185,208.96,JUL 15,204.94,AUG 15
42216,184.1,AUG 15,177.2,SEP 15
42247,164.04,SEP 15,149.91,OCT 15
42277,138.94,OCT 15,136.66999999999999,NOV 15
42307,140.5,NOV 15,137.16,DEC 15
42338,135.87,DEC 15,130.69,JAN 16
42369,126.71,JAN 16,127.1,FEB 16
42398,110.31,FEB 16,113.23,MAR 16
42429,104.97,MAR 16,132.07,APR 16
42460,142.65,APR 16,144.66999999999999,MAY 16
42489,158.47999999999999,MAY 16,160.44,JUN 16
42521,161.49,JUN 16,161.34,JUL 16
42551,150.13999999999999,JUL 16,150.13,AUG 16
42580,132.1,AUG 16,131.94,SEP 16
42613,141.22,SEP 16,133.34,OCT 16
42643,148.74,OCT 16,146.31,NOV 16
42674,144.94999999999999,NOV 16,141.94999999999999,DEC 16
42704,149.08000000000001,DEC 16,148.25,JAN 17
42734,166.51,JAN 17,167.09,FEB 17
42766,152.56,FEB 17,155.01,MAR 17
42794,151.19999999999999,MAR 17,172.94,APR 17
42825,170.01,APR 17,170.3,MAY 17
42853,154.80000000000001,MAY 17,154.81,JUN 17
42886,161.22,JUN 17,159.65,JUL 17
42916,151.52000000000001,JUL 17,151.37,AUG 17
42947,170.58,AUG 17,167.66,SEP 17
42978,213.99,SEP 17,177.92,OCT 17
43007,160.65,OCT 17,159.1,NOV 17
43039,177.96,NOV 17,173.25,DEC 17
43069,172.84,DEC 17,173,JAN 18
43098,179.92,JAN 18,179.58,FEB 18
43131,190.75,FEB 18,189.37,MAR 18
43159,175.77,MAR 18,192.46,APR 18
43189,201.79,APR 18,202.06,MAY 18
43220,212.92,MAY 18,213.08,JUN 18
43251,216.03,JUN 18,216.05,JUL 18
43280,217.91,JUL 18,215.12,AUG 18
43312,212.91,AUG 18,208.05,SEP 18
43343,214.37,SEP 18,199.7,OCT 18
43371,210.12,OCT 18,208.57,NOV 18
43404,176.8,NOV 18,175.14,DEC 18
43434,144.13,DEC 18,140.19,JAN 19
43465,132.37,JAN 19,130.21,FEB 19
43496,136.27000000000001,FEB 19,137.76,MAR 19
43524,162.93,MAR 19,175.23,APR 19
43553,189.56,APR 19,188.25,MAY 19
43585,212.32,MAY 19,206.68,JUN 19
43616,180.2,JUN 19,177.14,JUL 19
43644,194.25,JUL 19,189.66,AUG 19
43677,190.2,AUG 19,186.28,SEP 19
43707,161.34,SEP 19,152.97,OCT 19
43738,160.49,OCT 19,156.65,NOV 19
43769,163.12,NOV 19,159.46,DEC 19
43798,159.69999999999999,DEC 19,159.1,JAN 20
43830,169.78,JAN 20,169.05,FEB 20
