Start Date,36129,...3,...4,...5
End Date,43830,,,
,,,,
,HO1 Comdty,,HO2 Comdty,
Dates,Last Price,CURRENT_CONTRACT_MONTH_YR,Last Price,CURRENT_CONTRACT_MONTH_YR
36129,31.32,DEC 98,32.130000000000003,JAN 99
36160,34,JAN 99,34.28,FEB 99
36189,33.159999999999997,FEB 99,33.42,MAR 99
36217,32.29,MAR 99,32.369999999999997,APR 99
36250,44.68,APR 99,44,MAY 99
36280,44.47,MAY 99,45.46,JUN 99
36311,39.43,JUN 99,39.630000000000003,JUL 99
36341,47.85,JUL 99,49.02,AUG 99
36371,52.17,AUG 99,52.1,SEP 99
36403,58.02,SEP 99,58.38,OCT 99
36433,61.54,OCT 99,62.38,NOV 99
36462,57.4,NOV 99,57.99,DEC 99
36494,64.17,DEC 99,63.83,JAN 00
36525,69.03,JAN 00,67.87,FEB 00
36556,95.2,FEB 00,74.34,MAR 00
36585,82.46,MAR 00,76.45,APR 00
36616,78.33,APR 00,68.650000000000006,MAY 00
36644,73.180000000000007,MAY 00,67.19,JUN 00
36677,73.98,JUN 00,72.33,JUL 00
36707,84.14,JUL 00,83.28,AUG 00
36738,77.930000000000007,AUG 00,75.650000000000006,SEP 00
36769,98.42,SEP 00,98.7,OCT 00
36798,92.4,OCT 00,92.56,NOV 00
36830,94.1,NOV 00,93.58,DEC 00
36860,105.34,DEC 00,102.25,JAN 01
36889,90.66,JAN 01,89.09,FEB 01
36922,78.63,FEB 01,75.959999999999994,MAR 01
36950,73.34,MAR 01,70.91,APR 01
36980,75.67,APR 01,70.42,MAY 01
37011,74.34,MAY 01,75.31,JUN 01
37042,77.95,JUN 01,77.36,JUL 01
37071,70.900000000000006,JUL 01,71.83,AUG 01
37103,69.73,AUG 01,70.099999999999994,SEP 01
37134,76.63,SEP 01,77.290000000000006,OCT 01
37162,66.349999999999994,OCT 01,66.989999999999995,NOV 01
37195,59.79,NOV 01,61.04,DEC 01
37225,53.23,DEC 01,54.59,JAN 02
37256,55.07,JAN 02,55.33,FEB 02
37287,52.29,FEB 02,53.16,MAR 02
37315,56.28,MAR 02,57.15,APR 02
37344,66.89,APR 02,67.33,MAY 02
37376,68.900000000000006,MAY 02,69.19,JUN 02
37407,62.97,JUN 02,64.11,JUL 02
37435,67.959999999999994,JUL 02,68.03,AUG 02
37468,67.64,AUG 02,68.62,SEP 02
37498,74.819999999999993,SEP 02,76.349999999999994,OCT 02
37529,80.180000000000007,OCT 02,80.77,NOV 02
37560,74.38,NOV 02,74.900000000000006,DEC 02
37589,75.709999999999994,DEC 02,75.98,JAN 03
37621,86.55,JAN 03,86.86,FEB 03
37652,95.88,FEB 03,93.26,MAR 03
37680,125.59,MAR 03,107.21,APR 03
37711,79.239999999999995,APR 03,77.08,MAY 03
37741,76.14,MAY 03,68.510000000000005,JUN 03
37771,75.42,JUN 03,74.819999999999993,JUL 03
37802,78.08,JUL 03,78.58,AUG 03
37833,79.33,AUG 03,79.86,SEP 03
37862,81.87,SEP 03,82.63,OCT 03
37894,77.78,OCT 03,78.75,NOV 03
37925,78.58,NOV 03,80.040000000000006,DEC 03
37953,83.49,DEC 03,84.27,JAN 04
37986,91.27,JAN 04,91.46,FEB 04
38016,93.14,FEB 04,91.56,MAR 04
38044,96.09,MAR 04,94.19,APR 04
38077,88.64,APR 04,89.56,MAY 04
38107,95.36,MAY 04,94.49,JUN 04
38138,99.92,JUN 04,100.29,JUL 04
38168,100.55,JUL 04,102.08,AUG 04
38198,115.68,AUG 04,116.93,SEP 04
38230,111.06,SEP 04,112.3,OCT 04
38260,139.16999999999999,OCT 04,138.61000000000001,NOV 04
38289,144.62,NOV 04,146.41,DEC 04
38321,139.27000000000001,DEC 04,141.83000000000001,JAN 05
38352,122.97,JAN 05,125.26,FEB 05
38383,133.08000000000001,FEB 05,134.81,MAR 05
38411,149.13999999999999,MAR 05,145.41999999999999,APR 05
38442,165.76,APR 05,161.61000000000001,MAY 05
38471,143.58000000000001,MAY 05,142.59,JUN 05
38503,145.19,JUN 05,144.94999999999999,JUL 05
38533,161.91,JUL 05,163.61000000000001,AUG 05
38562,163.62,AUG 05,167.62,SEP 05
38595,205.3,SEP 05,207.65,OCT 05
38625,206.73,OCT 05,212.96,NOV 05
38656,176.98,NOV 05,182.39,DEC 05
38686,161.63999999999999,DEC 05,168.97,JAN 06
38716,172.8,JAN 06,176.98,FEB 06
38748,180.19,FEB 06,184.79,MAR 06
38776,171.2,MAR 06,172.24,APR 06
38807,186.18,APR 06,186.33,MAY 06
38835,201.29,MAY 06,201.29,JUN 06
38868,196.05,JUN 06,199.53,JUL 06
38898,196.42,JUL 06,202.86,AUG 06
38929,196.79,AUG 06,203.76,SEP 06
38960,195.42,SEP 06,201.5,OCT 06
38989,168.46,OCT 06,175.35,NOV 06
39021,158.69,NOV 06,166.7,DEC 06
39051,181.33,DEC 06,185,JAN 07
39080,159.79,JAN 07,164.82,FEB 07
39113,165.46,FEB 07,168.38,MAR 07
39141,178.04,MAR 07,177.81,APR 07
39171,187.94,APR 07,187.69,MAY 07
39202,191.35,MAY 07,189.48,JUN 07
39233,188.27,JUN 07,188.31,JUL 07
39262,203.19,JUL 07,204.24,AUG 07
39294,210,AUG 07,212.32,SEP 07
39325,204.22,SEP 07,205.74,OCT 07
39353,223.79,OCT 07,222.56,NOV 07
39386,250.78,NOV 07,252.93,DEC 07
39416,252.96,DEC 07,251.5,JAN 08
39447,264.44,JAN 08,264.94,FEB 08
39478,253.45,FEB 08,252.91,MAR 08
39507,283.97000000000003,MAR 08,280.69,APR 08
39538,304.92,APR 08,290.61,MAY 08
39568,317.7,MAY 08,315.8,JUN 08
39598,365.98,JUN 08,366.67,JUL 08
39629,390.29,JUL 08,391,AUG 08
39660,343.87,AUG 08,345.93,SEP 08
39689,318.19,SEP 08,319.19,OCT 08
39721,286.36,OCT 08,289.47000000000003,NOV 08
39752,200.63,NOV 08,208.42,DEC 08
39780,167.37,DEC 08,172.71,JAN 09
39813,140.57,JAN 09,144.21,FEB 09
39843,145.38,FEB 09,143.4,MAR 09
39871,126.59,MAR 09,126.75,APR 09
39903,134.38,APR 09,136.79,MAY 09
39933,131.47,MAY 09,133.68,JUN 09
39962,164.19,JUN 09,167.76,JUL 09
39994,171.8,JUL 09,178.77,AUG 09
40025,179.38,AUG 09,183.25,SEP 09
40056,177.92,SEP 09,180.85,OCT 09
40086,179.6,OCT 09,183.24,NOV 09
40116,198.11,NOV 09,200.52,DEC 09
40147,201.81,DEC 09,204.79,JAN 10
40178,211.88,JAN 10,211.56,FEB 10
40207,190.29,FEB 10,191.3,MAR 10
40235,202.49,MAR 10,203.53,APR 10
40268,216.46,APR 10,217.9,MAY 10
40298,228.85,MAY 10,231.57,JUN 10
40329,198.02,JUN 10,200.45,JUL 10
40359,198.17,JUL 10,201.43,AUG 10
40389,204.27,AUG 10,208.81,SEP 10
40421,199.44,SEP 10,199.17,OCT 10
40451,224.4,OCT 10,226.78,NOV 10
40480,222.01,NOV 10,223.77,DEC 10
40512,231.69,DEC 10,232.44,JAN 11
40543,254.37,JAN 11,254.24,FEB 11
40574,274.68,FEB 11,274.02999999999997,MAR 11
40602,292.58,MAR 11,293.89,APR 11
40633,308.98,APR 11,311.25,MAY 11
40662,325.58,MAY 11,327.58,JUN 11
40694,305.63,JUN 11,305.3,JUL 11
40724,293.27,JUL 11,294.63,AUG 11
40753,309.62,AUG 11,309.94,SEP 11
40786,307.82,SEP 11,308.39999999999998,OCT 11
40816,279.48,OCT 11,277.93,NOV 11
40847,304.29000000000002,NOV 11,305.83,DEC 11
40877,302.14,DEC 11,302.51,JAN 12
40907,293.5,JAN 12,291.42,FEB 12
40939,306.27999999999997,FEB 12,305.08999999999997,MAR 12
40968,318.8,MAR 12,320.58999999999997,APR 12
40998,316.83999999999997,APR 12,317.01,MAY 12
41029,318.33999999999997,MAY 12,318.42,JUN 12
41060,270.62,JUN 12,270.32,JUL 12
41089,269.60000000000002,JUL 12,270.99,AUG 12
41121,284.17,AUG 12,284.8,SEP 12
41152,316.95999999999998,SEP 12,318.02,OCT 12
41180,316.94,OCT 12,315.92,NOV 12
41213,306.82,NOV 12,306.23,DEC 12
41243,304.13,DEC 12,306.07,JAN 13
41274,304.51,JAN 13,303.18,FEB 13
41305,312.98,FEB 13,311.87,MAR 13
41333,297.19,MAR 13,296.02999999999997,APR 13
41362,291.52,APR 13,304.7,MAY 13
41394,287.35000000000002,MAY 13,283.95999999999998,JUN 13
41425,279.20999999999998,JUN 13,278.14,JUL 13
41453,287.98,JUL 13,285.88,AUG 13
41486,304.31,AUG 13,305.5,SEP 13
41516,313.95,SEP 13,313.66000000000003,OCT 13
41547,297.10000000000002,OCT 13,297.14999999999998,NOV 13
41578,296.77999999999997,NOV 13,295.39,DEC 13
41607,304.77999999999997,DEC 13,303.08,JAN 14
41639,307.72000000000003,JAN 14,306.52,FEB 14
41670,327.94,FEB 14,299.70999999999998,MAR 14
41698,308.93,MAR 14,301.63,APR 14
41729,293.2,APR 14,292.98,MAY 14
41759,293.49,MAY 14,292.81,JUN 14
41789,288.45999999999998,JUN 14,288.82,JUL 14
41820,297.08,JUL 14,297.52999999999997,AUG 14
41851,288.66000000000003,AUG 14,288.99,SEP 14
41880,285.69,SEP 14,286.01,OCT 14
41912,264.72000000000003,OCT 14,265.05,NOV 14
41943,251.45,NOV 14,251.09,DEC 14
41971,223.08,DEC 14,216.12,JAN 15
42004,184.66,JAN 15,183.36,FEB 15
42034,168.63,FEB 15,170.08,MAR 15
42062,229.89,MAR 15,197.37,APR 15
42094,171.79,APR 15,170.8,MAY 15
42124,197.63,MAY 15,198.05,JUN 15
42153,195.53,JUN 15,194.97,JUL 15
42185,188.66,JUL 15,188.99,AUG 15
42216,158.4,AUG 15,158.88999999999999,SEP 15
42247,167.36,SEP 15,170.12,OCT 15
42277,151.26,OCT 15,153.74,NOV 15
42307,149.94,NOV 15,151.66999999999999,DEC 15
42338,133.69,DEC 15,135.41999999999999,JAN 16
42369,110.07,JAN 16,112.39,FEB 16
42398,105.51,FEB 16,107.87,MAR 16
42429,107.6,MAR 16,109.37,APR 16
