Start Date,36129,...3,...4,...5
End Date,43830,,,
,,,,
,CO1 Comdty,,CO2 Comdty,
Dates,Last Price,CURRENT_CONTRACT_MONTH_YR,Last Price,CURRENT_CONTRACT_MONTH_YR
36129,10.46,JAN 99,10.7,FEB 99
36160,10.53,FEB 99,10.5,MAR 99
36189,11.35,MAR 99,11.42,APR 99
36217,10.88,APR 99,11,MAY 99
36250,15.24,MAY 99,15.16,JUN 99
36280,16.57,JUN 99,16.260000000000002,JUL 99
36311,15.2,JUL 99,15.37,AUG 99
36341,17.510000000000002,AUG 99,17.5,SEP 99
36371,19.37,SEP 99,19.239999999999998,OCT 99
36403,21.33,OCT 99,20.99,NOV 99
36433,23.58,NOV 99,23.3,DEC 99
36462,21.69,DEC 99,21.44,JAN 00
36494,23.64,JAN 00,22.74,FEB 00
36525,25.08,FEB 00,24.06,MAR 00
36556,25.97,MAR 00,25.06,APR 00
36585,28.09,APR 00,26.63,MAY 00
36616,24.77,MAY 00,24.79,JUN 00
36644,23.89,JUN 00,23.7,JUL 00
36677,28.31,JUL 00,27.1,AUG 00
36707,30.57,AUG 00,29.39,SEP 00
36738,26.93,SEP 00,26.68,OCT 00
36769,31.72,OCT 00,31.23,NOV 00
36798,29.84,NOV 00,30,DEC 00
36830,30.76,DEC 00,30.15,JAN 01
36860,31.88,JAN 01,31.33,FEB 01
36889,23.87,FEB 01,23.88,MAR 01
36922,26.66,MAR 01,25.71,APR 01
36950,25.57,APR 01,25.71,MAY 01
36980,24.74,MAY 01,24.92,JUN 01
37011,27.89,JUN 01,27.66,JUL 01
37042,29.34,JUL 01,28,AUG 01
37071,26.08,AUG 01,25.95,SEP 01
37103,24.69,SEP 01,24.77,OCT 01
37134,26.41,OCT 01,26.45,NOV 01
37162,23.26,NOV 01,23.33,DEC 01
37195,20.37,DEC 01,20.49,JAN 02
37225,19.14,JAN 02,19.27,FEB 02
37256,19.899999999999999,FEB 02,19.5,MAR 02
37287,19.18,MAR 02,19.41,APR 02
37315,21.33,APR 02,21.3,MAY 02
37344,25.92,MAY 02,25.57,JUN 02
37376,26.47,JUN 02,26.27,JUL 02
37407,24.45,JUL 02,24.51,AUG 02
37435,25.58,AUG 02,25.36,SEP 02
37468,25.44,SEP 02,25.27,OCT 02
37498,27.47,OCT 02,27.46,NOV 02
37529,28.75,NOV 02,28.66,DEC 02
37560,25.72,DEC 02,25.64,JAN 03
37589,25.16,JAN 03,24.98,FEB 03
37621,28.66,FEB 03,27.79,MAR 03
37652,31.1,MAR 03,30.72,APR 03
37680,32.79,APR 03,31.82,MAY 03
37711,27.18,MAY 03,26.56,JUN 03
37741,23.68,JUN 03,23.8,JUL 03
37771,26.32,JUL 03,26,AUG 03
37802,28.33,AUG 03,28.13,SEP 03
37833,28.37,SEP 03,28.17,OCT 03
37862,29.49,OCT 03,29.23,NOV 03
37894,27.61,NOV 03,27.25,DEC 03
37925,27.7,DEC 03,27.34,JAN 04
37953,28.45,JAN 04,28.2,FEB 04
37986,30.17,FEB 04,29.9,MAR 04
38016,29.18,MAR 04,29.01,APR 04
38044,32.229999999999997,APR 04,31.88,MAY 04
38077,31.51,MAY 04,31.38,JUN 04
38107,34.479999999999997,JUN 04,34.229999999999997,JUL 04
38138,36.58,JUL 04,36.229999999999997,AUG 04
38168,34.5,AUG 04,34.659999999999997,SEP 04
38198,40.03,SEP 04,39.42,OCT 04
38230,39.61,OCT 04,39.700000000000003,NOV 04
38260,46.38,NOV 04,45.5,DEC 04
38289,48.98,DEC 04,48.68,JAN 05
38321,45.51,JAN 05,45.98,FEB 05
38352,40.46,FEB 05,40.61,MAR 05
38383,45.92,MAR 05,46.01,APR 05
38411,50.06,APR 05,49.68,MAY 05
38442,54.29,MAY 05,55.04,JUN 05
38471,51.09,JUN 05,51.61,JUL 05
38503,50.73,JUL 05,51.2,AUG 05
38533,55.58,AUG 05,56.42,SEP 05
38562,59.37,SEP 05,60.18,OCT 05
38595,67.02,OCT 05,67.27,NOV 05
38625,63.48,NOV 05,64.209999999999994,DEC 05
38656,58.1,DEC 05,58.39,JAN 06
38686,55.05,JAN 06,56.02,FEB 06
38716,58.98,FEB 06,59.39,MAR 06
38748,65.989999999999995,MAR 06,66.67,APR 06
38776,61.76,APR 06,62.52,MAY 06
38807,65.91,MAY 06,66.290000000000006,JUN 06
38835,72.5,JUN 06,72.599999999999994,JUL 06
38868,70.41,JUL 06,71.2,AUG 06
38898,73.510000000000005,AUG 06,74.11,SEP 06
38929,75.150000000000006,SEP 06,75.23,OCT 06
38960,70.25,OCT 06,71.319999999999993,NOV 06
38989,62.48,NOV 06,63.86,DEC 06
39021,59.03,DEC 06,60.51,JAN 07
39051,64.260000000000005,JAN 07,64.92,FEB 07
39080,60.86,FEB 07,62.07,MAR 07
39113,57.4,MAR 07,58.36,APR 07
39141,61.89,APR 07,62.78,MAY 07
39171,68.099999999999994,MAY 07,68.180000000000007,JUN 07
39202,67.650000000000006,JUN 07,68.22,JUL 07
39233,68.040000000000006,JUL 07,68.33,AUG 07
39262,71.41,AUG 07,72.25,SEP 07
39294,77.05,SEP 07,76.88,OCT 07
39325,72.69,OCT 07,72.349999999999994,NOV 07
39353,79.17,NOV 07,78.88,DEC 07
39386,90.63,DEC 07,90.22,JAN 08
39416,88.26,JAN 08,87.9,FEB 08
39447,93.85,FEB 08,93.66,MAR 08
39478,92.21,MAR 08,91.82,APR 08
39507,100.1,APR 08,99.78,MAY 08
39538,100.3,MAY 08,100.11,JUN 08
39568,111.36,JUN 08,111.08,JUL 08
39598,127.78,JUL 08,127.79,AUG 08
39629,139.83000000000001,AUG 08,140.6,SEP 08
39660,123.98,SEP 08,125.11,OCT 08
39689,114.05,OCT 08,115.38,NOV 08
39721,98.17,NOV 08,99.56,DEC 08
39752,65.319999999999993,DEC 08,67.150000000000006,JAN 09
39780,53.49,JAN 09,55.58,FEB 09
39813,45.59,FEB 09,48.82,MAR 09
39843,45.88,MAR 09,47.7,APR 09
39871,46.35,APR 09,47.2,MAY 09
39903,49.23,MAY 09,50.56,JUN 09
39933,50.8,JUN 09,51.86,JUL 09
39962,65.52,JUL 09,66.180000000000007,AUG 09
39994,69.3,AUG 09,69.900000000000006,SEP 09
40025,71.7,SEP 09,72.209999999999994,OCT 09
40056,69.650000000000006,OCT 09,70.38,NOV 09
40086,69.069999999999993,NOV 09,69.8,DEC 09
40116,75.2,DEC 09,76,JAN 10
40147,78.47,JAN 10,79.3,FEB 10
40178,77.930000000000007,FEB 10,78.650000000000006,MAR 10
40207,71.459999999999994,MAR 10,72.08,APR 10
40235,77.59,APR 10,77.97,MAY 10
40268,82.7,MAY 10,83.25,JUN 10
40298,87.44,JUN 10,88.45,JUL 10
40329,74.650000000000006,JUL 10,75.400000000000006,AUG 10
40359,75.010000000000005,AUG 10,75.28,SEP 10
40389,78.180000000000007,SEP 10,78.48,OCT 10
40421,74.64,OCT 10,74.98,NOV 10
40451,82.31,NOV 10,82.59,DEC 10
40480,83.15,DEC 10,83.38,JAN 11
40512,85.92,JAN 11,86,FEB 11
40543,94.75,FEB 11,94.67,MAR 11
40574,101.01,MAR 11,101.12,APR 11
40602,111.8,APR 11,111.63,MAY 11
40633,117.36,MAY 11,117.2,JUN 11
40662,125.89,JUN 11,125.62,JUL 11
40694,116.73,JUL 11,116.38,AUG 11
40724,112.48,AUG 11,112.41,SEP 11
40753,116.74,SEP 11,116.53,OCT 11
40786,114.85,OCT 11,114.08,NOV 11
40816,102.76,NOV 11,100.88,DEC 11
40847,109.56,DEC 11,108.84,JAN 12
40877,110.52,JAN 12,109.98,FEB 12
40907,107.38,FEB 12,106.87,MAR 12
40939,110.98,MAR 12,110.69,APR 12
40968,122.66,APR 12,121.56,MAY 12
40998,122.88,MAY 12,122.08,JUN 12
41029,119.47,JUN 12,119.17,JUL 12
41060,101.87,JUL 12,101.43,AUG 12
41089,97.8,AUG 12,97.88,SEP 12
41121,104.92,SEP 12,103.84,OCT 12
41152,114.57,OCT 12,114.05,NOV 12
41180,112.39,NOV 12,111.58,DEC 12
41213,108.7,DEC 12,107.56,JAN 13
41243,111.23,JAN 13,110.25,FEB 13
41274,111.11,FEB 13,109.89,MAR 13
41305,115.55,MAR 13,114.54,APR 13
41333,111.38,APR 13,110.42,MAY 13
41362,110.02,MAY 13,109.79,JUN 13
41394,102.37,JUN 13,102.04,JUL 13
41425,100.39,JUL 13,100.2,AUG 13
41453,102.16,AUG 13,101.72,SEP 13
41486,107.7,SEP 13,106.91,OCT 13
41516,114.01,OCT 13,112.32,NOV 13
41547,108.37,NOV 13,107.43,DEC 13
41578,108.84,DEC 13,108.63,JAN 14
41607,109.69,JAN 14,109.33,FEB 14
41639,110.8,FEB 14,110.53,MAR 14
41670,106.4,MAR 14,105.81,APR 14
41698,109.07,APR 14,108.63,MAY 14
41729,107.76,MAY 14,107.65,JUN 14
41759,108.07,JUN 14,107.53,JUL 14
41789,109.41,JUL 14,108.68,AUG 14
41820,112.36,AUG 14,112.07,SEP 14
41851,106.02,SEP 14,106.53,OCT 14
41880,103.19,OCT 14,103.77,NOV 14
41912,94.67,NOV 14,95.32,DEC 14
41943,85.86,DEC 14,86.34,JAN 15
41971,70.150000000000006,JAN 15,70.58,FEB 15
42004,57.33,FEB 15,58.21,MAR 15
42034,52.99,MAR 15,53.95,APR 15
42062,62.58,APR 15,63.15,MAY 15
42094,55.11,MAY 15,56.21,JUN 15
42124,66.78,JUN 15,67.45,JUL 15
42153,65.56,JUL 15,66.14,AUG 15
42185,63.59,AUG 15,64.14,SEP 15
42216,52.21,SEP 15,52.85,OCT 15
42247,54.15,OCT 15,54.99,NOV 15
42277,48.37,NOV 15,49.05,DEC 15
42307,49.56,DEC 15,50.31,JAN 16
42338,44.61,JAN 16,45.24,FEB 16
42369,37.28,FEB 16,37.67,MAR 16
42398,34.74,MAR 16,35.99,APR 16
42429,35.97,APR 16,36.57,MAY 16
42460,39.6,MAY 16,40.33,JUN 16
42489,48.13,JUN 16,47.37,JUL 16
42521,49.69,JUL 16,49.89,AUG 16
42551,49.68,AUG 16,49.71,SEP 16
42580,42.46,SEP 16,43.53,OCT 16
